insert into `livros` values ('978-0-18-072205-3', 'A liberdade de mudar direto da fonte', '2020-10-01', '59', '13');
insert into `livros` values ('978-0-339-46707-1', 'O prazer de inovar com confiança', '2003-12-20', '56', '2');
insert into `livros` values ('978-0-906897-36-2', 'A certeza de conseguir simplesmente', '1983-01-02', '71', '14');
insert into `livros` values ('978-1-84329-790-1', 'A arte de evoluir direto da fonte', '1974-12-16', '58', '3');
insert into `livros` values ('978-1-204-85890-1', 'A arte de concretizar seus projetos com força total', '1975-07-06', '57', '1');
insert into `livros` values ('978-1-260-36333-3', 'A certeza de evoluir simplesmente', '1994-08-30', '96', '4');
insert into `livros` values ('978-0-00-497797-3', 'A vantagem de evoluir com força total', '2011-10-05', '81', '3');
insert into `livros` values ('978-0-658-88745-1', 'O prazer de conseguir com toda a tranquilidade', '1978-02-28', '56', '8');
insert into `livros` values ('978-1-01-680323-6', 'O poder de atingir seus objetivos direto da fonte', '1980-06-07', '78', '15');
insert into `livros` values ('978-1-4346-9530-7', 'O conforto de inovar direto da fonte', '2018-01-29', '61', '10');
insert into `livros` values ('978-0-89554-097-3', 'O prazer de atingir seus objetivos mais rapidamente', '2007-03-25', '87', '4');
insert into `livros` values ('978-1-66246-575-8', 'A certeza de inovar antes de tudo', '1983-11-29', '57', '13');
insert into `livros` values ('978-1-56252-133-2', 'A liberdade de realizar seus sonhos com força total', '1996-05-01', '70', '1');
insert into `livros` values ('978-1-886046-94-8', 'O prazer de mudar com confiança', '1999-11-16', '5', '9');
insert into `livros` values ('978-1-71588-272-3', 'A segurança de avançar em estado puro', '1981-03-07', '99', '20');
insert into `livros` values ('978-0-9689984-0-3', 'O conforto de concretizar seus projetos sem preocupação', '1999-11-21', '14', '6');
insert into `livros` values ('978-1-00-528785-6', 'O conforto de ganhar sem preocupação', '1992-01-13', '7', '3');
insert into `livros` values ('978-1-4713-2063-7', 'O prazer de inovar mais rapidamente', '2008-09-13', '5', '11');
insert into `livros` values ('978-0-656-42170-1', 'A simplicidade de inovar de maneira eficaz', '2004-02-07', '24', '2');
insert into `livros` values ('978-0-290-64176-3', 'A liberdade de atingir seus objetivos simplesmente', '1984-06-07', '13', '3');
insert into `livros` values ('978-0-9546669-8-9', 'A vantagem de avançar mais rapidamente', '2017-10-21', '92', '19');
insert into `livros` values ('978-0-7946-3161-1', 'A certeza de mudar com toda a tranquilidade', '1995-02-09', '52', '10');
insert into `livros` values ('978-0-11-550721-2', 'O direito de ganhar sem preocupação', '1996-07-19', '100', '7');
insert into `livros` values ('978-0-275-39207-9', 'A possibilidade de conseguir direto da fonte', '2018-06-29', '34', '3');
insert into `livros` values ('978-0-518-99790-0', 'A certeza de realizar seus sonhos com confiança', '2012-03-31', '22', '15');
insert into `livros` values ('978-1-57530-850-0', 'A vantagem de atingir seus objetivos de maneira eficaz', '2020-04-01', '46', '4');
insert into `livros` values ('978-0-7116-1971-5', 'O conforto de evoluir mais facilmente', '2017-05-10', '41', '6');
insert into `livros` values ('978-1-5224-7819-5', 'A simplicidade de avançar direto da fonte', '2022-03-28', '70', '13');
insert into `livros` values ('978-0-8156-2184-3', 'O conforto de mudar com força total', '2019-05-11', '40', '5');
insert into `livros` values ('978-0-335-34268-6', 'A vantagem de realizar seus sonhos com toda a tranquilidade', '2016-11-02', '52', '14');
insert into `livros` values ('978-1-03-162123-5', 'A possibilidade de atingir seus objetivos com confiança', '1972-04-25', '69', '14');
insert into `livros` values ('978-1-132-64689-2', 'O conforto de atingir seus objetivos direto da fonte', '2017-09-28', '85', '15');
insert into `livros` values ('978-1-877574-69-6', 'A simplicidade de concretizar seus projetos com força total', '2005-06-27', '54', '5');
insert into `livros` values ('978-1-104-86822-2', 'A certeza de realizar seus sonhos naturalmente', '1995-01-13', '59', '17');
insert into `livros` values ('978-1-62785-265-4', 'A arte de inovar com confiança', '2018-12-12', '57', '16');
insert into `livros` values ('978-0-7749-5739-7', 'A possibilidade de conseguir com força total', '1973-03-28', '45', '6');
insert into `livros` values ('978-1-74409-176-9', 'A vantagem de inovar direto da fonte', '2014-01-10', '21', '15');
insert into `livros` values ('978-0-622-54207-2', 'A simplicidade de ganhar com confiança', '2013-06-19', '32', '8');
insert into `livros` values ('978-0-904974-85-0', 'A simplicidade de inovar mais rapidamente', '1984-05-30', '56', '12');
insert into `livros` values ('978-1-56489-351-2', 'A arte de realizar seus sonhos de maneira eficaz', '1971-11-06', '84', '11');
insert into `livros` values ('978-0-306-76869-9', 'A liberdade de mudar direto da fonte', '2019-09-27', '42', '1');
insert into `livros` values ('978-1-66280-733-6', 'O direito de inovar direto da fonte', '1983-06-30', '44', '14');
insert into `livros` values ('978-1-66700-761-8', 'A liberdade de avançar simplesmente', '1979-02-05', '21', '17');
insert into `livros` values ('978-1-893497-72-6', 'O prazer de concretizar seus projetos mais facilmente', '2017-06-14', '91', '19');
insert into `livros` values ('978-0-86212-095-5', 'A simplicidade de ganhar com força total', '2016-01-29', '28', '15');
insert into `livros` values ('978-1-01-338439-4', 'A arte de inovar sem preocupação', '1971-06-04', '46', '2');
insert into `livros` values ('978-0-416-93071-9', 'A vantagem de conseguir em estado puro', '1990-08-13', '70', '7');
insert into `livros` values ('978-1-72580-222-3', 'A liberdade de inovar simplesmente', '2021-02-28', '51', '16');
insert into `livros` values ('978-1-141-73640-9', 'A segurança de evoluir sem preocupação', '1978-11-15', '66', '15');
insert into `livros` values ('978-1-168-64764-1', 'O poder de avançar com força total', '2001-10-28', '11', '4');
insert into `livros` values ('978-0-483-33961-3', 'A liberdade de mudar antes de tudo', '1974-01-02', '62', '12');
insert into `livros` values ('978-1-9814-7893-4', 'A simplicidade de ganhar mais facilmente', '1984-10-13', '20', '13');
insert into `livros` values ('978-1-394-84731-0', 'A simplicidade de ganhar antes de tudo', '1976-10-19', '53', '15');
insert into `livros` values ('978-0-7839-1570-8', 'A segurança de avançar mais rapidamente', '2000-08-24', '51', '9');
insert into `livros` values ('978-0-9741657-4-5', 'O poder de concretizar seus projetos simplesmente', '2022-03-31', '60', '12');
insert into `livros` values ('978-1-59066-989-1', 'O direito de realizar seus sonhos direto da fonte', '2002-02-19', '2', '20');
insert into `livros` values ('978-1-9784-4932-9', 'A segurança de evoluir naturalmente', '2017-04-25', '80', '5');
insert into `livros` values ('978-1-361-03452-1', 'A possibilidade de realizar seus sonhos com confiança', '2022-02-01', '11', '16');
insert into `livros` values ('978-1-72525-518-0', 'A arte de atingir seus objetivos direto da fonte', '1992-03-25', '66', '19');
insert into `livros` values ('978-1-5449-2120-4', 'O prazer de evoluir com força total', '1970-10-05', '68', '1');
insert into `livros` values ('978-0-7079-2371-0', 'O prazer de atingir seus objetivos com confiança', '1974-11-03', '14', '20');
insert into `livros` values ('978-1-942548-02-7', 'O direito de ganhar direto da fonte', '2005-12-04', '93', '13');
insert into `livros` values ('978-0-412-86658-6', 'A liberdade de inovar sem preocupação', '1971-01-12', '20', '17');
insert into `livros` values ('978-1-363-58798-8', 'A arte de inovar antes de tudo', '1985-05-04', '67', '4');
insert into `livros` values ('978-0-8247-0018-8', 'A vantagem de avançar naturalmente', '2006-06-02', '74', '14');
insert into `livros` values ('978-0-521-72280-3', 'A simplicidade de inovar mais facilmente', '1982-10-30', '41', '4');
insert into `livros` values ('978-1-351-15887-9', 'A arte de conseguir direto da fonte', '1986-08-26', '70', '1');
insert into `livros` values ('978-0-379-17484-7', 'A vantagem de avançar mais rapidamente', '1971-01-25', '50', '7');
insert into `livros` values ('978-0-89629-597-1', 'O poder de concretizar seus projetos direto da fonte', '1986-01-20', '33', '18');
insert into `livros` values ('978-1-9845-3133-9', 'O prazer de evoluir com toda a tranquilidade', '2016-04-25', '16', '3');
insert into `livros` values ('978-1-910521-71-7', 'O conforto de avançar com força total', '2021-12-24', '69', '3');
insert into `livros` values ('978-1-5215-6002-0', 'A vantagem de evoluir com força total', '1987-06-19', '65', '19');
insert into `livros` values ('978-1-136-53830-8', 'O prazer de atingir seus objetivos direto da fonte', '1978-04-13', '73', '6');
insert into `livros` values ('978-1-61016-905-9', 'O prazer de atingir seus objetivos com toda a tranquilidade', '2016-12-03', '77', '6');
insert into `livros` values ('978-1-63660-913-3', 'A simplicidade de evoluir direto da fonte', '2017-10-12', '6', '5');
insert into `livros` values ('978-0-526-59799-4', 'O poder de conseguir antes de tudo', '1999-07-29', '73', '13');
insert into `livros` values ('978-0-554-44474-1', 'O prazer de evoluir mais facilmente', '1998-07-14', '83', '15');
insert into `livros` values ('978-1-55390-788-6', 'A segurança de inovar com toda a tranquilidade', '1985-12-25', '26', '20');
insert into `livros` values ('978-1-66143-874-6', 'A possibilidade de concretizar seus projetos em estado puro', '2003-05-27', '96', '9');
insert into `livros` values ('978-0-03-396738-9', 'O prazer de concretizar seus projetos de maneira eficaz', '2003-03-11', '37', '11');
insert into `livros` values ('978-0-03-607512-8', 'A vantagem de concretizar seus projetos mais facilmente', '1997-02-26', '95', '15');
insert into `livros` values ('978-1-55401-322-7', 'A possibilidade de atingir seus objetivos mais facilmente', '1979-08-16', '38', '8');
insert into `livros` values ('978-0-496-69790-8', 'O direito de concretizar seus projetos em estado puro', '2017-10-18', '41', '1');
insert into `livros` values ('978-1-289-56884-9', 'O prazer de mudar mais facilmente', '1977-02-04', '25', '11');
insert into `livros` values ('978-0-362-49484-6', 'O direito de avançar de maneira eficaz', '2014-02-01', '85', '14');
insert into `livros` values ('978-0-487-03298-5', 'A arte de ganhar com força total', '1974-02-02', '12', '3');
insert into `livros` values ('978-1-274-59200-2', 'A simplicidade de avançar sem preocupação', '1978-12-11', '57', '19');
insert into `livros` values ('978-0-10-689432-1', 'A possibilidade de conseguir com confiança', '2012-11-04', '61', '16');
insert into `livros` values ('978-0-220-88879-4', 'A liberdade de evoluir com confiança', '1997-09-16', '73', '2');
insert into `livros` values ('978-1-179-81970-9', 'A liberdade de conseguir com força total', '1984-10-07', '98', '4');
insert into `livros` values ('978-0-213-34592-1', 'A certeza de mudar antes de tudo', '2006-09-14', '16', '2');
insert into `livros` values ('978-0-318-71266-6', 'A vantagem de ganhar com força total', '1992-06-20', '99', '12');
insert into `livros` values ('978-1-63156-364-5', 'A arte de ganhar com força total', '2015-05-06', '86', '4');
insert into `livros` values ('978-1-85970-807-1', 'A arte de mudar antes de tudo', '1981-12-17', '81', '12');
insert into `livros` values ('978-1-209-61928-6', 'A certeza de realizar seus sonhos com confiança', '2006-10-19', '64', '11');
insert into `livros` values ('978-0-653-22979-9', 'A possibilidade de inovar com confiança', '2008-12-20', '77', '11');
insert into `livros` values ('978-1-04-942448-4', 'A certeza de inovar direto da fonte', '2018-01-25', '74', '18');
insert into `livros` values ('978-0-244-11097-0', 'O poder de realizar seus sonhos direto da fonte', '2003-07-24', '72', '3');
insert into `livros` values ('978-0-247-72394-8', 'O direito de realizar seus sonhos mais rapidamente', '1976-11-02', '41', '12');
insert into `livros` values ('978-1-71111-217-6', 'A possibilidade de concretizar seus projetos com toda a tranquilidade', '2006-09-11', '66', '8');
insert into `livros` values ('978-0-8436-2674-2', 'A liberdade de inovar direto da fonte', '1978-12-29', '14', '3');
insert into `livros` values ('978-0-7925-3455-6', 'A possibilidade de conseguir simplesmente', '1989-07-20', '13', '9');
insert into `livros` values ('978-0-607-10682-4', 'O direito de mudar antes de tudo', '1995-12-08', '34', '17');
insert into `livros` values ('978-1-85796-330-4', 'A simplicidade de inovar mais rapidamente', '2017-08-18', '44', '20');
insert into `livros` values ('978-1-312-31430-6', 'O direito de mudar com força total', '2011-04-18', '73', '19');
insert into `livros` values ('978-1-265-96474-0', 'O poder de mudar de maneira eficaz', '2000-07-22', '6', '15');
insert into `livros` values ('978-1-242-06493-7', 'A certeza de avançar antes de tudo', '1998-04-13', '4', '9');
insert into `livros` values ('978-0-06-086285-5', 'O direito de inovar sem preocupação', '1990-06-11', '94', '2');
insert into `livros` values ('978-1-55831-449-8', 'A certeza de inovar mais facilmente', '2010-06-27', '27', '14');
insert into `livros` values ('978-1-72415-926-7', 'A vantagem de mudar mais rapidamente', '1984-06-20', '4', '8');
insert into `livros` values ('978-1-58016-479-5', 'A simplicidade de atingir seus objetivos com confiança', '2019-08-29', '13', '9');
insert into `livros` values ('978-1-84820-929-9', 'O poder de concretizar seus projetos antes de tudo', '2010-03-31', '94', '4');
insert into `livros` values ('978-1-84309-954-3', 'A vantagem de conseguir com confiança', '2010-01-31', '33', '13');
insert into `livros` values ('978-0-307-53136-0', 'A possibilidade de evoluir em estado puro', '2009-09-24', '35', '14');
insert into `livros` values ('978-1-76316-118-4', 'A segurança de evoluir com confiança', '2018-09-16', '81', '12');
insert into `livros` values ('978-1-374-87953-9', 'A arte de atingir seus objetivos com toda a tranquilidade', '2002-02-18', '5', '8');
